sample	summary	reads_total	reads_map_percent	reads_dup_percent	reads_insertsize	bases_total	bases_map_percent	bases_divergent_percent	bases_gc_percent	bases_map_ratio
A375_SIN3B_KO_C25_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C25_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C25_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C25_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C25_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C25_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C25_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C25_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C25_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C25_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_SIN3B_KO_C26_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C4_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C6_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_CONTROL_C7_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C11_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C20_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
